id,trans
filename,scene_evt220228_cp7_q2_s10
translator,Insli
info,scene_evt220228_cp7_q2_s10
96,啊……还真是这样啊。
95,他比谁都更爱<span class='scene-font-place'>阿尔比昂</span>这个地方。
94,他的功绩我们永世不忘。
93,嗯，最后的契约者啊。
87,这是他的最后留下的话。
86,寻求附身的修瓦利耶，\n其存在以半永久的状态维持着，\n领主可以在约束下行使他的力量。
85,看上去是的……
84,也就是说，修瓦利耶是与<span class='scene-font-place'>阿尔比昂</span>\n这座岛建立起契约\n这可能才是真正正确的方法。
83,是的。\n岛屿的名字正是从那位<span class='scene-font-spword'>星之民</span>的名字\n继承下来的……
82,……那么说来，<span class='scene-font-place'>阿尔比昂</span>还是\n最初与修瓦利耶建立契约的\n那位<span class='scene-font-spword'>星之民</span>的名字啊。
81,与修瓦列耶建立契约的\n还可以不是人类的呀。
80,星晶兽和岛屿建立契约……\n居然还有这样子的方法。
79,新一届领主诞生了，于是阿尔比昂城里人声鼎沸。
78,领主大人万岁！
77,领主大人！
75,过了一段时间——
69,方法是有的。
68,呃？
67,有的。
66,……妳的意思是？\n所以说，还有别的方法？……
65,不可以发生这样的事。
64,哪边都有他们独自的想法和责任\n到最后……愿望渐渐扭曲变形……
63,不管是人类还是星晶兽。
62,毫无理由可言的契约，\n不满以及恐惧会扭曲这段关系。\n周围的人类又不是牵线木偶来着。
61,无论契约者和修瓦利耶他们自己怎么想，\n世界也终归不是单单\n由你们两者就建立起来的。
60,你说，心吗？
59,之后，那个契约者他也\n会明白到修瓦利耶的心意。
58,但修瓦利耶她肯定\n会接受那个人的心意的。
57,未来我之后的契约者\n会是个什么样的人\n我不好说但……
56,好还是坏，\n是由我说了算的吗？
55,这样好吗？
54,又会有一个新的契约者出现\n与曾经的你一样\n要去蒙受相同的恐惧和痛楚……
53,就算是这样子……\n待你身腐身朽骨之日来临之后\n世界依旧照常运转的。
52,想到这里……\n我就心甘情愿了。
51,修瓦利耶她并不是\n榨干我们力量的无情机器。\n她是真心真意想帮助我们的……
50,修瓦利耶\n我和她也很合得来。
49,……（叮）……
48,不过……
47,就算到了现在，时间一分一秒的在流逝，\n我距离终局一步一步的在走近\n我依旧为此恐惧不安……
46,……唔……
45,比起逃避死亡，对我而言，\n守护家族、朋友……乃至故乡的所有\n这样的渴望要更强烈一些。
44,只不过……
43,为什么要选我……\n换做是别人\n取代我的位置就不可以吗……！
42,我可不想去死啊！\n我实在怕的要死！
41,我怕……\n我怕的要死！
40,其实……
39,难道，你就没有感到一丝不甘或者恐惧吗？
38,为了故乡和同胞们的平安\n纵使自己腐身朽骨也在所不辞\n你真心这么想的吗？
37,诶……？
36,这就是，你们所期待的世界吗？
32,……是啊。\n（是因为）有你与我的力量\n才这样的，对吧。
31,────
30,谢谢妳，修瓦利耶。
29,有赖于妳的力量，\n人们守护<span class='scene-font-place'>阿尔比昂</span>才成为可能。
28,<span class='scene-font-place'>阿尔比昂</span>城里的人们在欢笑。\n大家的日子都过得\n那么和平喜乐笑语欢声呢……
27,────（叮）
26,看到没有，修瓦利耶。
19,嗯，没错……
18,对于人类而言星晶兽过于强大\n这说不定是一个\n安定星晶兽力量不错的方法。
17,你可以说是某种契约吧。
16,即使如此，她通过加护岛屿\n来增长力量啊……
15,……你说的没错。
14,像我这样的天司\n还有妳，除了为了这样的目的\n还为什么被创造出来呢？
13,还引起了<span class='scene-font-spword'>星之民</span>的兴趣是吧。
12,不正是这样，进化的概念\n对于空之世界而言\n才那么至关重要……
11,进化啊……\n本来，这是与星域无缘的事物。
10,多样性催生出进化。
9,此乃自然现象，\n空之世界里出现摇摆变动和不按规律的地方，\n总体上分布并不完全均匀。
8,在空之世界里面，\n某一种元素之力格外强盛，\n这样的地方很早以前就存在。
7,妳所关切的均衡\n放心还未达到使之崩坏的程度。
6,这不要紧吧？
5,提亚马特的力量在增强……\n风的元素的扰动开始活跃起来。
4,嗯。\n提亚马特有意保护岛屿，\n当地岛民们接纳了她的庇佑。
3,<span class='scene-font-place'>波特普利兹（微风港）</span>？\n属于提亚马特的那个……
2,<span class='scene-font-place'>波特普利兹群岛</span>的面貌\n正经历着改变。
0-synopsis,路西菲尔观测到提亚马特的力量因为加护<span class='scene-font-place'>波特普利兹群岛</span>而增强的现象。听罢，科斯莫斯在修瓦利耶契约者的梦中显现，并为他出主意，以实现他身边人们的祈愿。遵循着她的建议，修瓦利耶星灵附体到岛屿上，<span class='scene-font-place'>阿尔比昂</span>的领主便开始在制约规限下行使星晶兽的力量，从而斩断了牺牲人性命换取星晶兽庇佑的枷锁。
0-chapter_name,第三话 纠结摇摆的心